Movie name,Movie rate,Description,Creators,Trailer link,More Info
Despicable Me 2,6.9,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,"Chris Renaud, Pierre Coffin",https://www.youtube.com/watch?v=EK3j98PHaGM,https://www.themoviedb.org/movie/93456
Pride & Prejudice,8.06,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",Joe Wright,https://www.youtube.com/watch?v=tbW-pmLT5UU,https://www.themoviedb.org/movie/4348
Sketch,7.2,"When a young girl’s sketchbook falls into a strange pond, her drawings come to life—chaotic, real, and on the loose. As the town descends into chaos, her family must reunite and stop the monsters they never meant to unleash.",Seth Worley,https://www.youtube.com/watch?v=dQxXne4vmjc,https://www.themoviedb.org/movie/1319969
Zootopia 2,0.0,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find their partnership isn't as solid as they thought when Chief Bogo orders them to join the Partners in Crisis counseling program. But it doesn't take long for their partnership to be put to the ultimate test when they find themselves on the twisting trail of a mystery tied to the arrival of a venomous snake in the animal metropolis.","Jared Bush, Byron Howard",https://www.youtube.com/watch?v=BjkIOU5PhyQ,https://www.themoviedb.org/movie/1084242
Closed Circuit,5.905,A high-profile terrorism case unexpectedly binds together two ex-lovers on the defense team - testing the limits of their loyalties and placing their lives in jeopardy.,John Crowley,https://www.youtube.com/watch?v=_dDiMp-gTHA,https://www.themoviedb.org/movie/146223
Eco-Pirate: The Story of Paul Watson,6.3,"The story of a man on a mission to save the planet and its oceans. The film follows professional radical ecologist, Captain Paul Watson, as he repeatedly flouts the law so that he may apprehend what he sees as the more serious lawbreakers: the illegal poachers of the world.",Trish Dolman,https://www.youtube.com/watch?v=gTStVKT6d_k,https://www.themoviedb.org/movie/220782
Circus of Books,6.995,"For decades, a nice Jewish couple ran Circus of Books, a porn shop and epicenter for gay LA. Their director daughter documents their life and times.",Rachel Mason,https://www.youtube.com/watch?v=Cxksd8ytFJg,https://www.themoviedb.org/movie/597594
Rebel Royals: An Unlikely Love Story,4.375,Go behind the scenes of Märtha Louise and Shaman Durek Verrett's relationship in the lead-up to their divisive wedding in Norway.,Rebecca Chaiklin,https://www.youtube.com/watch?v=39d7dreq6GA,https://www.themoviedb.org/movie/1535385
Nymphomaniac: Vol. II,6.712,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,Lars von Trier,N/A,https://www.themoviedb.org/movie/249397
Redux Redux,8.0,"A woman travels the multiverse, killing her daughter’s murderer over and over again. She grows addicted to the revenge streak, putting her own humanity in jeopardy.","Kevin McManus, Matthew McManus",N/A,https://www.themoviedb.org/movie/1340110
The Unspeakable Act,5.6,"17-year-old Jackie is in distress as her older brother Matthew gets his first girlfriend and prepares for college. Though Matthew does not share her incestuous desire, Jackie fights the intrusion of reality on her idyllic childhood world.",Dan Sallitt,https://www.youtube.com/watch?v=M5cjPlupfM4,https://www.themoviedb.org/movie/119826
Creation of the Gods I: Kingdom of Storms,7.103,"Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",Wuershan,https://www.youtube.com/watch?v=0ucTl-cxIjc,https://www.themoviedb.org/movie/856289
The Jade Pendant,6.0,"Fleeing an arranged marriage in China, the independent Peony signs a contract to work as a “flower girl” in America, where she meets Tom, an American Born Chinese cook whose father works on the Transcontinental Railroad. Thwarted by a Hong Kong Triad boss seeking to extend his power into America, theirs is the tale of the first great Chinese immigration to the United States – a story of romance, bigotry, passion, food and a search for everlasting love – set against the largest mass lynching in American history, in Los Angeles’ Chinatown, in 1871.",Leong Po-Chih,https://www.youtube.com/watch?v=8rGrbuXqQeA,https://www.themoviedb.org/movie/483266
Batman Ninja vs. Yakuza League,6.7,"The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!","Jumpei Mizusaki, Shinji Takagi",https://www.youtube.com/watch?v=QleeDtH_WWE,https://www.themoviedb.org/movie/1297763
The Purge: Anarchy,6.628,"One night per year, the government sanctions a 12-hour period in which citizens can commit any crime they wish -- including murder -- without fear of punishment or imprisonment. Leo, a sergeant who lost his son, plans a vigilante mission of revenge during the mayhem. However, instead of a death-dealing avenger, he becomes the unexpected protector of four innocent strangers who desperately need his help if they are to survive the night.",James DeMonaco,https://www.youtube.com/watch?v=3mfRasMXmL4,https://www.themoviedb.org/movie/238636
The Hangover Part II,6.496,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",Todd Phillips,https://www.youtube.com/watch?v=ohF5ZO_zOYU,https://www.themoviedb.org/movie/45243
Christmas by Starlight,6.8,"Annie, a lawyer, must help her loved ones this holiday season. Her family’s restaurant, The Starlight Café, is slated for demolition. The heir to the development firm responsible, William, makes her an unlikely proposition: he’ll spare the café if Annie spends the week “appearing” as the legal counsel his father is demanding he hire in the wake of some costly mistakes.",Gary Yates,https://www.youtube.com/watch?v=eMmcptXvmNk,https://www.themoviedb.org/movie/746045
Lords of the Deep,2.9,"Man has finally conquered the ocean. America's first self-contained undersea laboratory is the pride of the nation, and expectations are high for an elaborate undersea mining operation. What wasn't expected was the inhabitants of an undiscovered world.",Mary Ann Fisher,https://www.youtube.com/watch?v=Z5MiaKZv7b0,https://www.themoviedb.org/movie/222323
The Little Mermaid,7.348,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,"John Musker, Ron Clements",https://www.youtube.com/watch?v=J0KsXGZ6y8s,https://www.themoviedb.org/movie/10144
Hotel Transylvania,6.963,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",Genndy Tartakovsky,https://www.youtube.com/watch?v=q4RK3jY7AVk,https://www.themoviedb.org/movie/76492
Migration,7.381,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",Benjamin Renner,https://www.youtube.com/watch?v=hWbfohXIdEU,https://www.themoviedb.org/movie/940551
Star Wars: The Rise of Skywalker,6.284,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",J.J. Abrams,https://www.youtube.com/watch?v=8Qn_spdM5Zg,https://www.themoviedb.org/movie/181812
Gray Matters,5.8,"Sam and Gray are such a well-matched pair that it is difficult to believe they are brother and sister rather than husband and wife. They both share a love of 1940s movies and dancing, and when they meet Charlie, they have something else in common: They both fall in love with her. Sam must deal with unexpected feelings of jealousy, while Gray struggles to come to terms with her sexual orientation.",Sue Kramer,N/A,https://www.themoviedb.org/movie/14845
The Curse of La Llorona,5.7,"In 1970s Los Angeles, the legendary ghost La Llorona is stalking the night -- and the children. Ignoring the eerie warning of a troubled mother, a social worker and her own kids are drawn into a frightening supernatural realm. Their only hope of surviving La Llorona's deadly wrath is a disillusioned priest who practices mysticism to keep evil at bay.",Michael Chaves,https://www.youtube.com/watch?v=uOV-xMYQ7sk,https://www.themoviedb.org/movie/480414
The Smashing Machine,7.0,The story of legendary mixed martial arts and UFC fighter Mark Kerr.,Benny Safdie,https://www.youtube.com/watch?v=u4A8zfMClCM,https://www.themoviedb.org/movie/760329
Perfect Blue,8.305,"Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",Satoshi Kon,https://www.youtube.com/watch?v=RrWausp8zDQ,https://www.themoviedb.org/movie/10494
Descendent,5.743,"After a traumatic brain injury triggers terrifying visions of extraterrestrials and a newfound talent for drawing, a father-to-be begins to question his reality and becomes obsessed with the need to protect his family from an unseen threat.",Peter Cilella,https://www.youtube.com/watch?v=HC1QwsXuO6E,https://www.themoviedb.org/movie/1422052
The Smashing Machine,7.0,The story of legendary mixed martial arts and UFC fighter Mark Kerr.,Benny Safdie,https://www.youtube.com/watch?v=u4A8zfMClCM,https://www.themoviedb.org/movie/760329
Perfect Blue,8.305,"Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",Satoshi Kon,https://www.youtube.com/watch?v=RrWausp8zDQ,https://www.themoviedb.org/movie/10494
Descendent,5.743,"After a traumatic brain injury triggers terrifying visions of extraterrestrials and a newfound talent for drawing, a father-to-be begins to question his reality and becomes obsessed with the need to protect his family from an unseen threat.",Peter Cilella,https://www.youtube.com/watch?v=HC1QwsXuO6E,https://www.themoviedb.org/movie/1422052
The Constant Gardener,7.008,"Justin Quayle is a low-level British diplomat who has always gone about his work very quietly, not causing any problems. But after his radical wife Tessa is killed he becomes determined to find out why, thrusting himself into the middle of a very dangerous conspiracy.",Fernando Meirelles,https://www.youtube.com/watch?v=9FycLyDTCWQ,https://www.themoviedb.org/movie/1985
Meg 2: The Trench,6.414,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,Ben Wheatley,https://www.youtube.com/watch?v=dG91B3hHyY4,https://www.themoviedb.org/movie/615656
Ace of Aces,7.072,"In this action comedy the French boxer Jo Cavalier is charmed on the train to Berlin for the Olympics in Hitler's Germany by the little boy Simon Rosenblum who asks his autograph; when it turns out his adorable young fan is a Jewish orphan in danger of persecution, he risks his one shot at Olympic glory to save Simon and his family, helped only by a German officer-gentleman who became his friend in World War I, by an adventurous escape to Switzerland, Nazi troops on their heals and braving impossible odds in roller coaster-style.",Gérard Oury,N/A,https://www.themoviedb.org/movie/71524
Harry & Meghan: A Royal Romance,6.928,"Examine the history of Prince Harry and Meghan Markle from the moment they met after being set up by friends, through their initial courtship when they were able to keep their romance under wraps, and ultimately the intense global media attention surrounding their relationship and Meghan’s life as a divorced American actress.",Menhaj Huda,https://www.youtube.com/watch?v=t1v0BgiYgHE,https://www.themoviedb.org/movie/518527
Fountain of Youth,6.338,"A treasure-hunting mastermind assembles a team for a life-changing adventure. But to outwit and outrun threats at every turn, he'll need someone even smarter than he is: his estranged sister.",Guy Ritchie,https://www.youtube.com/watch?v=-7S28bH8iDs,https://www.themoviedb.org/movie/1098006
Salome,10.0,Kelas Bintang is back with this pack of drama called Salome.,N/A,N/A,https://www.themoviedb.org/movie/1135869
Mother's Job,5.8,"A young man falls in love with his friend's mother.  Hyun-woo, who returned to the military, starts a part-time job at a bar in a difficult situation, where he meets Yoo-sun, a woman who captures the hearts of customers with her skillful ways. Then one day, Hyun-woo, who was alone with her, finds himself in a shock with his friends Min-seok and Yoo-sun. When Hyun-woo confesses the truth after a hard time, Yoo-sun asks her to keep her relationship secret. Hyun-woo, who failed to reject Min-seok's proposal to live in his own home, begins a breathtaking cohabitation with Yoo-sun.",Do Bong-san,N/A,https://www.themoviedb.org/movie/481871
Eternal Sunshine of the Spotless Mind,8.092,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",Michel Gondry,https://www.youtube.com/watch?v=c2e-bj6qy8Y,https://www.themoviedb.org/movie/38
Ruby Sparks,7.119,"Calvin is a young novelist who achieved phenomenal success early in his career but is now struggling with his writing – as well as his romantic life. Finally, he makes a breakthrough and creates a character named Ruby who inspires him. When Calvin finds Ruby, in the flesh, sitting on his couch about a week later, he is completely flabbergasted that his words have turned into a living, breathing person.","Jonathan Dayton, Valerie Faris",https://www.youtube.com/watch?v=xb3_AE-UinY,https://www.themoviedb.org/movie/103332
Tim Travers and the Time Traveler's Paradox,5.714,"A scientist creates a time machine and kills their younger self to see what would happen. And that self-obsessed, misanthropic, mad genius of a scientist is Tim Travers. And the universe was bad enough with only one of him.",Stimson Snead,https://www.youtube.com/watch?v=4U46UYohL-0,https://www.themoviedb.org/movie/1290595
Toy Story 4,7.469,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",Josh Cooley,https://www.youtube.com/watch?v=Pl9JS8-gnWQ,https://www.themoviedb.org/movie/301528
The Devil's Advocate,7.469,"Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned.",Taylor Hackford,https://www.youtube.com/watch?v=etrZJJC4ox8,https://www.themoviedb.org/movie/1813
Taz: Quest for Burger,5.9,"After an outlaw abducts her father and steals her town’s food supply, a feisty adolescent bandicoot named Quinn recruits the Tasmanian Devil to help her find the thief. Taz may be an ill-tempered rogue with a fearsome reputation, but he and Quinn will have to work together to track the criminal through the wilds of Tasmania and save her community.",Ryan Kramer,https://www.youtube.com/watch?v=-cpZEYLfyTA,https://www.themoviedb.org/movie/1109207
Henry Danger: The Movie,7.726,"Henry Hart meets a superfan—eager to fight crime with Kid Danger—who comes into possession of a device that can open up alternate realities. Facing a wild ride, Henry will need his best friend Jasper and his new superfan sidekick to find his way out or be stuck in another dimension forever.",Joe Menendez,https://www.youtube.com/watch?v=Rcc9veq0JgM,https://www.themoviedb.org/movie/926670
RE:BORN,7.1,A former special forces operative struggling to contain the destructive impulses of his past goes on a rampage against a squad of ruthless assassins.,Yuji Shimomura,https://www.youtube.com/watch?v=uxM6vsMNwXs,https://www.themoviedb.org/movie/408866
Colours of Time,7.72,"United by the unexpected inheritance of a house in Normandy, four estranged cousins discover their family history by retracing their ancestor's steps.",Cédric Klapisch,https://www.youtube.com/watch?v=_sTdOm2BID8,https://www.themoviedb.org/movie/1235304
Tron,6.649,"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...And becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.",Steven Lisberger,https://www.youtube.com/watch?v=INv-OQ1clmw,https://www.themoviedb.org/movie/97
The Pursuit of Happyness,7.891,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Gabriele Muccino,https://www.youtube.com/watch?v=DMOBlEcRuw8,https://www.themoviedb.org/movie/1402
Sleeping Beauty,4.5,"When a young Prince and his trusted aid learn of a beautiful Princess's cursed eternal slumber, they embark on a journey to rescue her. They must battle an evil queen and legions of undead monsters before she will be free.",Casper Van Dien,https://www.youtube.com/watch?v=ouRLmEo2fBM,https://www.themoviedb.org/movie/275318
Barbarian,6.8,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",Zach Cregger,https://www.youtube.com/watch?v=Dr89pmKrqkI,https://www.themoviedb.org/movie/913290
Predator: Badlands,0.0,"In the future on a remote planet, a young Predator, outcast from his clan, finds an unlikely ally in Thia and embarks on a treacherous journey in search of the ultimate adversary.",Dan Trachtenberg,https://www.youtube.com/watch?v=43R9l7EkJwE,https://www.themoviedb.org/movie/1242898
The Old Guard,7.124,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,Gina Prince-Bythewood,https://www.youtube.com/watch?v=aK-X2d0lJ_s,https://www.themoviedb.org/movie/547016
Aliens,7.952,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",James Cameron,https://www.youtube.com/watch?v=8OxirbuHsBA,https://www.themoviedb.org/movie/679
Kung Fu Panda 2,7.049,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",Jennifer Yuh Nelson,https://www.youtube.com/watch?v=FQ63rqSRrEI,https://www.themoviedb.org/movie/49444
The Boy and the Heron,7.425,"While the Second World War rages, the teenage Mahito, haunted by his mother's tragic death, is relocated from Tokyo to the serene rural home of his new stepmother Natsuko, a woman who bears a striking resemblance to the boy's mother. As he tries to adjust, this strange new world grows even stranger following the appearance of a persistent gray heron, who perplexes and bedevils Mahito, dubbing him the ""long-awaited one.""",Hayao Miyazaki,https://www.youtube.com/watch?v=A002-b7IH2M,https://www.themoviedb.org/movie/508883
Amaran,7.4,"A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.",Rajkumar Periasamy,N/A,https://www.themoviedb.org/movie/927342
His Musical Career,6.0,Charlie and his partner are to deliver a piano to 666 Prospect St. and repossess one from 999 Prospect St.,Charlie Chaplin,N/A,https://www.themoviedb.org/movie/53397
His Fatal Fixation,6.1,"After surviving a violent attack at the hands of a jealous stalker, flawless beauty Lily Abrams moves to a new city looking for a fresh start. Physically scarred and struggling to cope with dark trauma from her past, Lily is haunted by visions of her stalker at every turn, and is at risk of unraveling, losing her new job, and the new life she has built for herself. Sarah Fisher, Robin Dunne star",Stuart Archer,N/A,https://www.themoviedb.org/movie/682258
Echo Valley,6.5,"Kate lives a secluded life—until her troubled daughter shows up, frightened and covered in someone else's blood. As Kate unravels the shocking truth, she learns just how far a mother will go to try to save her child.",Michael Pearce,https://www.youtube.com/watch?v=KQiZ5zMhliw,https://www.themoviedb.org/movie/1097311
Scary Movie,6.375,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",Keenen Ivory Wayans,https://www.youtube.com/watch?v=HTLPULt0eJ4,https://www.themoviedb.org/movie/4247
Fear Strikes Out,7.1,"True story of the life of Jimmy Piersall, who battled mental illness to achieve stardom in major league baseball.",Robert Mulligan,N/A,https://www.themoviedb.org/movie/125413
Rebel Royals: An Unlikely Love Story,4.375,Go behind the scenes of Märtha Louise and Shaman Durek Verrett's relationship in the lead-up to their divisive wedding in Norway.,Rebecca Chaiklin,https://www.youtube.com/watch?v=39d7dreq6GA,https://www.themoviedb.org/movie/1535385
Cars,7.011,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",John Lasseter,https://www.youtube.com/watch?v=bOs0p2E4sZw,https://www.themoviedb.org/movie/920
Midway,7.11,"The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.",Roland Emmerich,https://www.youtube.com/watch?v=l9laReRAYFk,https://www.themoviedb.org/movie/522162
The Unspeakable Act,5.6,"17-year-old Jackie is in distress as her older brother Matthew gets his first girlfriend and prepares for college. Though Matthew does not share her incestuous desire, Jackie fights the intrusion of reality on her idyllic childhood world.",Dan Sallitt,https://www.youtube.com/watch?v=M5cjPlupfM4,https://www.themoviedb.org/movie/119826
The Shanghai Story,4.8,"Shanghai, China. The last expatriate Westerners still living in the city are imprisoned in a hotel by the communist authorities in order to find the spy hiding among them.",Frank Lloyd,N/A,https://www.themoviedb.org/movie/235408
RE:BORN,7.1,A former special forces operative struggling to contain the destructive impulses of his past goes on a rampage against a squad of ruthless assassins.,Yuji Shimomura,https://www.youtube.com/watch?v=uxM6vsMNwXs,https://www.themoviedb.org/movie/408866
Killer Competition,5.0,"By her friend Sarah's suggestion, high school senior Nicole manipulates test scores to be the valedictorian, but becomes the prime suspect for a series of top-ranked students' murders.",Andrew Lawrence,https://www.youtube.com/watch?v=Eb1IMtDSx4w,https://www.themoviedb.org/movie/734288
2001: A Space Odyssey,8.063,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",Stanley Kubrick,https://www.youtube.com/watch?v=kR2r-A9H3Kg,https://www.themoviedb.org/movie/62
Mom's Friend 2,6.1,"An art student named Gwang-ho gets dumped by his girlfriend because she was only his source of comfort, and that he's a Mama's boy and a premature ejaculator. He tries to avoid seeing her by going to a different academy and that's when his mother introduces him to her friend Soo-yeon, a sophisticated and intelligent looking woman. Gwang-ho falls for her.  Gwang-ho's mother suddenly leaves for Australia because his father is sick and Gwang-ho gets to stay in Soo-yeon's house for a few days. Looking at her, he thinks of all the things he would like to do with her and Soo-yeon's niece Ha-kyeong stimulates him to do something about his feelings.",Lim Hyun-tae,N/A,https://www.themoviedb.org/movie/412092
I Survived a Zombie Holocaust,5.2,"From the land of early Peter Jackson comes another Braindead movie in bad taste. It’s the third day of shooting the low budget horror ‘Tonight They Come’ on location in the wilds of New Zealand. Director SMP is already beside himself having to work with a self-obsessed leading man and a bimbo actress when into his line of fire comes a new runner, wannabe screenwriter Wesley Pennington. Clearly an accident-prone nerd, Wesley nevertheless tries his best to fit in with the crazed cast and demented crew while falling head over heels for Susan, the set caterer. But something nasty has entered the local water supply and suddenly the zombie extras start acting like genuine members of the living dead, gore stunts looks even more authentic and actual severed limbs fly. Reel life turns real as Wesley attempts to save the day while ensuring his latest script will get made.",Guy Pigden,https://www.youtube.com/watch?v=zlRL0v9ZTxs,https://www.themoviedb.org/movie/279997
Migration,7.381,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",Benjamin Renner,https://www.youtube.com/watch?v=hWbfohXIdEU,https://www.themoviedb.org/movie/940551
The Bridges of Madison County,7.717,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Clint Eastwood,https://www.youtube.com/watch?v=ZoJJkAQV0Bg,https://www.themoviedb.org/movie/688
Star Wars: The Rise of Skywalker,6.284,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",J.J. Abrams,https://www.youtube.com/watch?v=8Qn_spdM5Zg,https://www.themoviedb.org/movie/181812
Everything Everywhere All at Once,7.741,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.","Daniel Scheinert, Daniel Kwan",https://www.youtube.com/watch?v=wxN1T1uxQ2g,https://www.themoviedb.org/movie/545611
10 Things I Hate About You,7.593,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",Gil Junger,https://www.youtube.com/watch?v=GbWQ_VXek6A,https://www.themoviedb.org/movie/4951
Prometheus,6.582,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",Ridley Scott,https://www.youtube.com/watch?v=cJMIzdf1eo8,https://www.themoviedb.org/movie/70981
Joker: Folie à Deux,5.426,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",Todd Phillips,https://www.youtube.com/watch?v=fiqqAI0e4Nc,https://www.themoviedb.org/movie/889737
Failure to Launch,5.826,"At 35, Tripp has an interesting job, a hip car, a passion for sailing, an active dating life, and a great house - trouble is, he still lives with his parents, Al and Sue, who are not happy about it. Al and Sue are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to help. In desperation to push Tripp out of the nest once and for all, Al and Sue hatch a plan to hire Paula, an ""interventionist,"" who has a formula in these cases.",Tom Dey,https://www.youtube.com/watch?v=4KZM3PRV0NM,https://www.themoviedb.org/movie/6877
Faces of Death III,3.5,"The third installment of the infamous ""is it real or fake?"" mondo series sets its sights primarily on serial killers, with lengthy reenactments of police investigations of bodies being found in dumpsters, and a staged courtroom sequence.",John Alan Schwartz,N/A,https://www.themoviedb.org/movie/15901
Salem's Lot,6.047,Author Ben Mears returns to his childhood home of Jerusalem's Lot only to discover his hometown is being preyed upon by a bloodthirsty vampire.,Gary Dauberman,https://www.youtube.com/watch?v=QtVzKkv03ic,https://www.themoviedb.org/movie/748230
Margin Call,6.866,A thriller that revolves around the key people at an investment bank over a 24-hour period during the early stages of the financial crisis.,J.C. Chandor,https://www.youtube.com/watch?v=5RIU83i-WMM,https://www.themoviedb.org/movie/50839
The Revenant,7.536,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",Alejandro González Iñárritu,https://www.youtube.com/watch?v=LoebZZ8K5N0,https://www.themoviedb.org/movie/281957
Fountain of Youth,6.338,"A treasure-hunting mastermind assembles a team for a life-changing adventure. But to outwit and outrun threats at every turn, he'll need someone even smarter than he is: his estranged sister.",Guy Ritchie,https://www.youtube.com/watch?v=-7S28bH8iDs,https://www.themoviedb.org/movie/1098006
Mother's Job,5.8,"A young man falls in love with his friend's mother.  Hyun-woo, who returned to the military, starts a part-time job at a bar in a difficult situation, where he meets Yoo-sun, a woman who captures the hearts of customers with her skillful ways. Then one day, Hyun-woo, who was alone with her, finds himself in a shock with his friends Min-seok and Yoo-sun. When Hyun-woo confesses the truth after a hard time, Yoo-sun asks her to keep her relationship secret. Hyun-woo, who failed to reject Min-seok's proposal to live in his own home, begins a breathtaking cohabitation with Yoo-sun.",Do Bong-san,N/A,https://www.themoviedb.org/movie/481871
Here Come the Munsters,5.1,"The Munsters come to America to search for Herman's brother-in-law Norman Hyde, only to find out that he has turned himself into Brent Jekyll, who is running for congress, and Grandpa must make a formula to change Norman back.",Robert Ginty,https://www.youtube.com/watch?v=RK2O8UBQQv4,https://www.themoviedb.org/movie/249391
Ruby Sparks,7.119,"Calvin is a young novelist who achieved phenomenal success early in his career but is now struggling with his writing – as well as his romantic life. Finally, he makes a breakthrough and creates a character named Ruby who inspires him. When Calvin finds Ruby, in the flesh, sitting on his couch about a week later, he is completely flabbergasted that his words have turned into a living, breathing person.","Jonathan Dayton, Valerie Faris",https://www.youtube.com/watch?v=xb3_AE-UinY,https://www.themoviedb.org/movie/103332
Sneakers,6.9,"When shadowy U.S. intelligence agents blackmail a reformed computer hacker and his eccentric team of security experts into stealing a code-breaking 'black box' from a Soviet-funded genius, they uncover a bigger conspiracy. Now, he and his 'sneakers' must save themselves and the world economy by retrieving the box from their blackmailers.",Phil Alden Robinson,https://www.youtube.com/watch?v=NEhgUxQ322A,https://www.themoviedb.org/movie/2322
Shape of My Heart,7.0,"A romance about a man and a woman who, due to an unexpected event, end up switching bodies. Despite coming from completely different backgrounds and environments, the two try to overcome the various difficulties that arise from their body swap.",Shinji Imaoka,N/A,https://www.themoviedb.org/movie/1285366
Casino,7.994,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",Martin Scorsese,https://www.youtube.com/watch?v=zFUKn_75m1o,https://www.themoviedb.org/movie/524
